,track_urs,track_names,release_dates,artists_info,artist_names,artist_pops,artists_genres,albums,tracks_pop
10,spotify:track:7IiqF2tYiixnpBcFjkocjA,Moving On,2013-08-06,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/1caBfBEapzw8z2Qz9q0OaQ'}, 'followers': {'href': None, 'total': 1859763}, 'genres': ['alternative metal', 'metalcore', 'trancecore', 'uk metalcore'], 'href': 'https://api.spotify.com/v1/artists/1caBfBEapzw8z2Qz9q0OaQ', 'id': '1caBfBEapzw8z2Qz9q0OaQ', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebaf99c0e6478c463beb1208e7', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174af99c0e6478c463beb1208e7', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178af99c0e6478c463beb1208e7', 'width': 160}], 'name': 'Asking Alexandria', 'popularity': 65, 'type': 'artist', 'uri': 'spotify:artist:1caBfBEapzw8z2Qz9q0OaQ'}",Asking Alexandria,65,"['alternative metal', 'metalcore', 'trancecore', 'uk metalcore']",From Death To Destiny,57
11,spotify:track:6upnye9Xyw6VuhX49Fpm6j,Cuando Quieras Llegar,2021-02-11,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/4VAZ6unMJx5upeWn0aFYuo'}, 'followers': {'href': None, 'total': 76462}, 'genres': ['colombian rock', 'indie rock colombiano', 'latin rock'], 'href': 'https://api.spotify.com/v1/artists/4VAZ6unMJx5upeWn0aFYuo', 'id': '4VAZ6unMJx5upeWn0aFYuo', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebf3bbe725e999d796f850b1f5', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174f3bbe725e999d796f850b1f5', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178f3bbe725e999d796f850b1f5', 'width': 160}], 'name': 'Diamante Eléctrico', 'popularity': 47, 'type': 'artist', 'uri': 'spotify:artist:4VAZ6unMJx5upeWn0aFYuo'}",Diamante Eléctrico,47,"['colombian rock', 'indie rock colombiano', 'latin rock']",Mira Lo Que Me Hiciste Hacer,48
12,spotify:track:6MWaf0c7rvbvVH5V2zmHJn,Young Girl,2016-04-01,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/4CKIGHCZRzNoiNDSaW5eaq'}, 'followers': {'href': None, 'total': 29652}, 'genres': ['mexican indie'], 'href': 'https://api.spotify.com/v1/artists/4CKIGHCZRzNoiNDSaW5eaq', 'id': '4CKIGHCZRzNoiNDSaW5eaq', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb27c2cf982a3e05267d2b320c', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517427c2cf982a3e05267d2b320c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17827c2cf982a3e05267d2b320c', 'width': 160}], 'name': 'Midnight Generation', 'popularity': 44, 'type': 'artist', 'uri': 'spotify:artist:4CKIGHCZRzNoiNDSaW5eaq'}",Midnight Generation,44,['mexican indie'],Funk Your Bones (Side B),49
13,spotify:track:0oOi9CONKPVfTR2PqfcNSR,Toni,2022-04-07,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/3WaJSfKnzc65VDgmj2zU8B'}, 'followers': {'href': None, 'total': 1443793}, 'genres': ['alternative rock', 'indie rock', 'modern rock', 'rock'], 'href': 'https://api.spotify.com/v1/artists/3WaJSfKnzc65VDgmj2zU8B', 'id': '3WaJSfKnzc65VDgmj2zU8B', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb120d51babe5e6770b00ac3c6', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174120d51babe5e6770b00ac3c6', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178120d51babe5e6770b00ac3c6', 'width': 160}], 'name': 'Interpol', 'popularity': 64, 'type': 'artist', 'uri': 'spotify:artist:3WaJSfKnzc65VDgmj2zU8B'}",Interpol,64,"['alternative rock', 'indie rock', 'modern rock', 'rock']",Toni,51
14,spotify:track:3WV34nSOObEF4RUJ5VQfae,Line of Fire,2013-04-23,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/7HcipAIJatVGT4U6HQrnFW'}, 'followers': {'href': None, 'total': 165749}, 'genres': ['stomp and holler', 'swedish indie rock'], 'href': 'https://api.spotify.com/v1/artists/7HcipAIJatVGT4U6HQrnFW', 'id': '7HcipAIJatVGT4U6HQrnFW', 'images': [{'height': 800, 'url': 'https://i.scdn.co/image/1ab6f94d26cc9e1a0512e76588479667b45ad2d8', 'width': 800}, {'height': 640, 'url': 'https://i.scdn.co/image/282295ca0e26dd8d53bf19d736a90ecd27f684dd', 'width': 640}, {'height': 200, 'url': 'https://i.scdn.co/image/9f56dda0d9fb36db9729ed2d7198496dd7cee6a0', 'width': 200}, {'height': 64, 'url': 'https://i.scdn.co/image/82fe0bccf47e0d9452d0aabd9e37ab019a02e7a0', 'width': 64}], 'name': 'Junip', 'popularity': 44, 'type': 'artist', 'uri': 'spotify:artist:7HcipAIJatVGT4U6HQrnFW'}",Junip,44,"['stomp and holler', 'swedish indie rock']",Junip,36
15,spotify:track:4ldQ0aYDWB7ITE0a6U51uA,Sleep Apnea (Piano),2021-11-09,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/1bwUhKRmEkOZ1wuTnV9XjC'}, 'followers': {'href': None, 'total': 470906}, 'genres': ['brooklyn indie', 'chillwave', 'dream pop', 'dreamo', 'indie garage rock', 'indie rock', 'indie surf', 'popgaze', 'shoegaze'], 'href': 'https://api.spotify.com/v1/artists/1bwUhKRmEkOZ1wuTnV9XjC', 'id': '1bwUhKRmEkOZ1wuTnV9XjC', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebf03d553dda88c27c42f07a7b', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174f03d553dda88c27c42f07a7b', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178f03d553dda88c27c42f07a7b', 'width': 160}], 'name': 'Beach Fossils', 'popularity': 57, 'type': 'artist', 'uri': 'spotify:artist:1bwUhKRmEkOZ1wuTnV9XjC'}",Beach Fossils,57,"['brooklyn indie', 'chillwave', 'dream pop', 'dreamo', 'indie garage rock', 'indie rock', 'indie surf', 'popgaze', 'shoegaze']",Sleep Apnea (Piano),26
16,spotify:track:25RriQgYitvlhOso7ckY2r,Guilty Party,2017-09-08,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/2cCUtGK9sDU2EoElnk0GNB'}, 'followers': {'href': None, 'total': 1406002}, 'genres': ['indie rock', 'modern rock'], 'href': 'https://api.spotify.com/v1/artists/2cCUtGK9sDU2EoElnk0GNB', 'id': '2cCUtGK9sDU2EoElnk0GNB', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebeb6f09d5c9727e9cde277574', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174eb6f09d5c9727e9cde277574', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178eb6f09d5c9727e9cde277574', 'width': 160}], 'name': 'The National', 'popularity': 66, 'type': 'artist', 'uri': 'spotify:artist:2cCUtGK9sDU2EoElnk0GNB'}",The National,66,"['indie rock', 'modern rock']",Sleep Well Beast,0
17,spotify:track:5CQHf6LdOYDls2k51aSdMp,Secret Meeting,2005-04-11,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/2cCUtGK9sDU2EoElnk0GNB'}, 'followers': {'href': None, 'total': 1406002}, 'genres': ['indie rock', 'modern rock'], 'href': 'https://api.spotify.com/v1/artists/2cCUtGK9sDU2EoElnk0GNB', 'id': '2cCUtGK9sDU2EoElnk0GNB', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebeb6f09d5c9727e9cde277574', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174eb6f09d5c9727e9cde277574', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178eb6f09d5c9727e9cde277574', 'width': 160}], 'name': 'The National', 'popularity': 66, 'type': 'artist', 'uri': 'spotify:artist:2cCUtGK9sDU2EoElnk0GNB'}",The National,66,"['indie rock', 'modern rock']",Alligator,0
18,spotify:track:336ZYcU6poBWi3s8yzRcAD,I Follow Rivers,2011,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/6oBm8HB0yfrIc9IHbxs6in'}, 'followers': {'href': None, 'total': 1693961}, 'genres': ['art pop', 'electropop', 'pop', 'swedish electropop', 'swedish indie pop', 'swedish pop'], 'href': 'https://api.spotify.com/v1/artists/6oBm8HB0yfrIc9IHbxs6in', 'id': '6oBm8HB0yfrIc9IHbxs6in', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb0bf8a86c8e3a34bb4934abb7', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051740bf8a86c8e3a34bb4934abb7', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1780bf8a86c8e3a34bb4934abb7', 'width': 160}], 'name': 'Lykke Li', 'popularity': 68, 'type': 'artist', 'uri': 'spotify:artist:6oBm8HB0yfrIc9IHbxs6in'}",Lykke Li,68,"['art pop', 'electropop', 'pop', 'swedish electropop', 'swedish indie pop', 'swedish pop']",Wounded Rhymes,62
19,spotify:track:7DRVOwHIJLIlAFG1pWYXoS,Nobody Else Will Be There,2017-09-08,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/2cCUtGK9sDU2EoElnk0GNB'}, 'followers': {'href': None, 'total': 1406002}, 'genres': ['indie rock', 'modern rock'], 'href': 'https://api.spotify.com/v1/artists/2cCUtGK9sDU2EoElnk0GNB', 'id': '2cCUtGK9sDU2EoElnk0GNB', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebeb6f09d5c9727e9cde277574', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174eb6f09d5c9727e9cde277574', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178eb6f09d5c9727e9cde277574', 'width': 160}], 'name': 'The National', 'popularity': 66, 'type': 'artist', 'uri': 'spotify:artist:2cCUtGK9sDU2EoElnk0GNB'}",The National,66,"['indie rock', 'modern rock']",Sleep Well Beast,0
